1483304400000, 525651, 543160, 29714, 1356, 2296
1483308000000, 322938, 329393, 18343, 746, 1396
1483311600000, 247265, 253993, 13719, 544, 1075
1483315200000, 299924, 305724, 16353, 624, 1203
1483318800000, 479918, 496733, 25749, 1105, 1979
1483322400000, 772424, 801010, 41202, 2126, 3213
1483326000000, 1171130, 1187237, 62327, 3279, 4290
1483329600000, 1608742, 1647430, 86552, 4790, 5487
1483333200000, 2124093, 2163399, 114021, 6460, 6967
1483336800000, 2634717, 2680327, 141595, 7944, 8618
1483340400000, 3098483, 3160730, 166590, 9438, 10004
1483344000000, 3513570, 3572254, 189353, 10508, 11194
1483347600000, 3844102, 3897715, 207383, 11320, 12214
1483351200000, 4049904, 4108007, 219143, 11789, 12777
1483354800000, 4127031, 4184946, 223576, 12054, 13014
1483358400000, 4072248, 4130152, 221193, 11857, 12814
1483362000000, 3890273, 3943779, 211437, 11444, 12464
1483365600000, 3579347, 3641240, 195194, 10711, 11589
1483369200000, 3175687, 3240374, 173648, 9702, 10397
1483372800000, 2717480, 2763927, 149183, 8300, 9109
1483376400000, 2212788, 2252941, 122059, 6905, 7426
1483380000000, 1694100, 1734781, 94243, 5231, 5896
1483383600000, 1246521, 1265045, 69144, 3702, 4601
1483387200000, 836730, 865995, 46937, 2494, 3478
1483390800000, 525651, 543160, 29714, 1356, 2296
1483394400000, 322938, 329393, 18343, 746, 1396
1483398000000, 247265, 253993, 13719, 544, 1075
1483401600000, 299924, 305724, 16353, 624, 1203
1483405200000, 479918, 496733, 25749, 1105, 1979
1483408800000, 772424, 801010, 41202, 2126, 3213
1483412400000, 1171130, 1187237, 62327, 3279, 4290
1483416000000, 1608742, 1647430, 86552, 4790, 5487
1483419600000, 2124093, 2163399, 114021, 6460, 6967
1483423200000, 2634717, 2680327, 141595, 7944, 8618
1483426800000, 3098483, 3160730, 166590, 9438, 10004
1483430400000, 3513570, 3572254, 189353, 10508, 11194
1483434000000, 3844102, 3897715, 207383, 11320, 12214
1483437600000, 4049904, 4108007, 219143, 11789, 12777
1483441200000, 4127031, 4184946, 223576, 12054, 13014
1483444800000, 4072248, 4130152, 221193, 11857, 12814
1483448400000, 3890273, 3943779, 211437, 11444, 12464
1483452000000, 3579347, 3641240, 195194, 10711, 11589
1483455600000, 3175687, 3240374, 173648, 9702, 10397
1483459200000, 2717480, 2763927, 149183, 8300, 9109
1483462800000, 2212788, 2252941, 122059, 6905, 7426
1483466400000, 1694100, 1734781, 94243, 5231, 5896
1483470000000, 1246521, 1265045, 69144, 3702, 4601
1483473600000, 836730, 865995, 46937, 2494, 3478
1483477200000, 525651, 543160, 29714, 1356, 2296
1483480800000, 322938, 329393, 18343, 746, 1396
1483484400000, 247265, 253993, 13719, 544, 1075
1483488000000, 299924, 305724, 16353, 624, 1203
1483491600000, 479918, 496733, 25749, 1105, 1979
1483495200000, 772424, 801010, 41202, 2126, 3213
1483498800000, 1171130, 1187237, 62327, 3279, 4290
1483502400000, 1608742, 1647430, 86552, 4790, 5487
1483506000000, 2124093, 2163399, 114021, 6460, 6967
1483509600000, 2634717, 2680327, 141595, 7944, 8618
1483513200000, 3098483, 3160730, 166590, 9438, 10004
1483516800000, 3513570, 3572254, 189353, 10508, 11194
1483520400000, 3845866, 3899269, 208559, 11362, 12298
1483524000000, 4052424, 4110227, 220823, 11849, 12897
1483527600000, 4129551, 4187166, 225256, 12114, 13134
1483531200000, 4074768, 4132372, 222873, 11917, 12934
1483534800000, 3892793, 3945999, 213117, 11504, 12584
1483538400000, 3581867, 3643460, 196874, 10771, 11709
1483542000000, 3178207, 3242594, 175328, 9762, 10517
1483545600000, 2720000, 2766147, 150863, 8360, 9229
1483549200000, 2215308, 2255161, 123739, 6965, 7546
1483552800000, 1696620, 1737001, 95923, 5291, 6016
