1483304400000, 29714
1483308000000, 18343
1483311600000, 13719
1483315200000, 16353
1483318800000, 25749
1483322400000, 41202
1483326000000, 62327
1483329600000, 86552
1483333200000, 114021
1483336800000, 141595
1483340400000, 166590
1483344000000, 189353
1483347600000, 207383
1483351200000, 219143
1483354800000, 223576
1483358400000, 221193
1483362000000, 211437
1483365600000, 195194
1483369200000, 173648
1483372800000, 149183
1483376400000, 122059
1483380000000, 94243
1483383600000, 69144
1483387200000, 46937
1483390800000, 29714
1483394400000, 18343
1483398000000, 13719
1483401600000, 16353
1483405200000, 25749
1483408800000, 41202
1483412400000, 62327
1483416000000, 86552
1483419600000, 114021
1483423200000, 141595
1483426800000, 166590
1483430400000, 189353
1483434000000, 207383
1483437600000, 219143
1483441200000, 223576
1483444800000, 221193
1483448400000, 211437
1483452000000, 195194
1483455600000, 173648
1483459200000, 149183
1483462800000, 122059
1483466400000, 94243
1483470000000, 69144
1483473600000, 46937
1483477200000, 29714
1483480800000, 18343
1483484400000, 13719
1483488000000, 16353
1483491600000, 25749
1483495200000, 41202
1483498800000, 62327
1483502400000, 86552
1483506000000, 114021
1483509600000, 141595
1483513200000, 166590
1483516800000, 189353
1483520400000, 208559
1483524000000, 220823
1483527600000, 225256
1483531200000, 222873
1483534800000, 213117
1483538400000, 196874
1483542000000, 175328
1483545600000, 150863
1483549200000, 123739
1483552800000, 95923
1483556400000, 70824
1483560000000, 48617
1483563600000, 31394
1483567200000, 20023
1483570800000, 15399
1483574400000, 18033
1483578000000, 27429
1483581600000, 42882
1483585200000, 64007
1483588800000, 88232
1483592400000, 115701
1483596000000, 143275
1483599600000, 168270
1483603200000, 191033
1483606800000, 209063
1483610400000, 220823
1483614000000, 225256
1483617600000, 222873
1483621200000, 213117
1483624800000, 196874
1483628400000, 175328
1483632000000, 150863
1483635600000, 123739
1483639200000, 95923
1483642800000, 70824
1483646400000, 48617
1483650000000, 31394
1483653600000, 20023
1483657200000, 15399
1483660800000, 18033
1483664400000, 27429
1483668000000, 42882
1483671600000, 64007
1483675200000, 88232
1483678800000, 115701
1483682400000, 143275
1483686000000, 168270
1483689600000, 191033
1483693200000, 209063
1483696800000, 220823
1483700400000, 225256
1483704000000, 222873
1483707600000, 213117
1483711200000, 196874
1483714800000, 175328
1483718400000, 150863
1483722000000, 123739
1483725600000, 95923
1483729200000, 70824
1483732800000, 48617
1483736400000, 31394
1483740000000, 20023
1483743600000, 15399
1483747200000, 18033
1483750800000, 27429
1483754400000, 42882
1483758000000, 64007
1483761600000, 88232
1483765200000, 115701
1483768800000, 143275
1483772400000, 168270
1483776000000, 191033
1483779600000, 209063
1483783200000, 220823
1483786800000, 225256
1483790400000, 222873
1483794000000, 213117
1483797600000, 196874
1483801200000, 175328
1483804800000, 150863
1483808400000, 123739
1483812000000, 95923
1483815600000, 70824
1483819200000, 48617
1483822800000, 31394
1483826400000, 20023
1483830000000, 15399
1483833600000, 18033
1483837200000, 27429
1483840800000, 42882
1483844400000, 64007
1483848000000, 88232
1483851600000, 115701
1483855200000, 143275
1483858800000, 168270
1483862400000, 191033
1483866000000, 209063
1483869600000, 220823
1483873200000, 225256
1483876800000, 222873
1483880400000, 213117
1483884000000, 196874
1483887600000, 175328
1483891200000, 150863
1483894800000, 123739
1483898400000, 95923
1483902000000, 70824
1483905600000, 48617
1483909200000, 31394
1483912800000, 20023
1483916400000, 15399
1483920000000, 18033
1483923600000, 27429
1483927200000, 42882
1483930800000, 64007
1483934400000, 88232
1483938000000, 115701
1483941600000, 143275
1483945200000, 168270
1483948800000, 191033
1483952400000, 209063
1483956000000, 220823
1483959600000, 225256
1483963200000, 222873
1483966800000, 213117
1483970400000, 196874
1483974000000, 175328
1483977600000, 150863
1483981200000, 123739
1483984800000, 95923
1483988400000, 70824
1483992000000, 48617
1483995600000, 31394
1483999200000, 20023
1484002800000, 15399
1484006400000, 18033
1484010000000, 27429
1484013600000, 42882
1484017200000, 64007
1484020800000, 88232
1484024400000, 115701
1484028000000, 143275
1484031600000, 168270
1484035200000, 191033
1484038800000, 209063
1484042400000, 220823
1484046000000, 225256
1484049600000, 222873
1484053200000, 213117
1484056800000, 196874
1484060400000, 175328
1484064000000, 150863
1484067600000, 123739
1484071200000, 95923
1484074800000, 70824
1484078400000, 48617
1484082000000, 31394
1484085600000, 20023
1484089200000, 15399
1484092800000, 18033
1484096400000, 27429
1484100000000, 42882
1484103600000, 64007
1484107200000, 88232
1484110800000, 115701
1484114400000, 143275
1484118000000, 168270
1484121600000, 191033
1484125200000, 209063
1484128800000, 220823
1484132400000, 225256
1484136000000, 222873
1484139600000, 213117
1484143200000, 196874
1484146800000, 175328
1484150400000, 150863
1484154000000, 123739
1484157600000, 95923
1484161200000, 70824
1484164800000, 48617
1484168400000, 31394
1484172000000, 20023
1484175600000, 15399
1484179200000, 18033
1484182800000, 27429
1484186400000, 42882
1484190000000, 64007
1484193600000, 88232
1484197200000, 115701
1484200800000, 143275
1484204400000, 168270
1484208000000, 191033
1484211600000, 209063
