1483304400000, 1356, 2296
1483308000000, 746, 1396
1483311600000, 544, 1075
1483315200000, 624, 1203
1483318800000, 1105, 1979
1483322400000, 2126, 3213
1483326000000, 3279, 4290
1483329600000, 4790, 5487
1483333200000, 6460, 6967
1483336800000, 7944, 8618
1483340400000, 9438, 10004
1483344000000, 10508, 11194
1483347600000, 11320, 12214
1483351200000, 11789, 12777
1483354800000, 12054, 13014
1483358400000, 11857, 12814
1483362000000, 11444, 12464
1483365600000, 10711, 11589
1483369200000, 9702, 10397
1483372800000, 8300, 9109
1483376400000, 6905, 7426
1483380000000, 5231, 5896
1483383600000, 3702, 4601
1483387200000, 2494, 3478
1483390800000, 1356, 2296
1483394400000, 746, 1396
1483398000000, 544, 1075
1483401600000, 624, 1203
1483405200000, 1105, 1979
1483408800000, 2126, 3213
1483412400000, 3279, 4290
1483416000000, 4790, 5487
1483419600000, 6460, 6967
1483423200000, 7944, 8618
1483426800000, 9438, 10004
1483430400000, 10508, 11194
1483434000000, 11320, 12214
1483437600000, 11789, 12777
1483441200000, 12054, 13014
1483444800000, 11857, 12814
1483448400000, 11444, 12464
1483452000000, 10711, 11589
1483455600000, 9702, 10397
1483459200000, 8300, 9109
1483462800000, 6905, 7426
1483466400000, 5231, 5896
1483470000000, 3702, 4601
1483473600000, 2494, 3478
1483477200000, 1356, 2296
1483480800000, 746, 1396
1483484400000, 544, 1075
1483488000000, 624, 1203
1483491600000, 1105, 1979
1483495200000, 2126, 3213
1483498800000, 3279, 4290
1483502400000, 4790, 5487
1483506000000, 6460, 6967
1483509600000, 7944, 8618
1483513200000, 9438, 10004
1483516800000, 10508, 11194
1483520400000, 11362, 12298
1483524000000, 11849, 12897
1483527600000, 12114, 13134
1483531200000, 11917, 12934
1483534800000, 11504, 12584
1483538400000, 10771, 11709
1483542000000, 9762, 10517
1483545600000, 8360, 9229
1483549200000, 6965, 7546
1483552800000, 5291, 6016
1483556400000, 3762, 4721
1483560000000, 2554, 3598
1483563600000, 1416, 2416
1483567200000, 806, 1516
1483570800000, 604, 1195
1483574400000, 684, 1323
1483578000000, 1165, 2099
1483581600000, 2186, 3333
1483585200000, 3339, 4410
1483588800000, 4850, 5607
1483592400000, 6520, 7087
1483596000000, 8004, 8738
1483599600000, 9498, 10124
1483603200000, 10568, 11314
1483606800000, 11380, 12334
1483610400000, 11849, 12897
1483614000000, 12114, 13134
1483617600000, 11917, 12934
1483621200000, 11504, 12584
1483624800000, 10771, 11709
1483628400000, 9762, 10517
1483632000000, 8360, 9229
1483635600000, 6965, 7546
1483639200000, 5291, 6016
1483642800000, 3762, 4721
1483646400000, 2554, 3598
1483650000000, 1416, 2416
1483653600000, 806, 1516
1483657200000, 604, 1195
1483660800000, 684, 1323
1483664400000, 1165, 2099
1483668000000, 2186, 3333
1483671600000, 3339, 4410
1483675200000, 4850, 5607
1483678800000, 6520, 7087
1483682400000, 8004, 8738
1483686000000, 9498, 10124
1483689600000, 10568, 11314
1483693200000, 11380, 12334
1483696800000, 11849, 12897
1483700400000, 12114, 13134
1483704000000, 11917, 12934
1483707600000, 11504, 12584
1483711200000, 10771, 11709
1483714800000, 9762, 10517
1483718400000, 8360, 9229
1483722000000, 6965, 7546
1483725600000, 5291, 6016
