1483304400000, 525651, 543160
1483308000000, 322938, 329393
1483311600000, 247265, 253993
1483315200000, 299924, 305724
1483318800000, 479918, 496733
1483322400000, 772424, 801010
1483326000000, 1171130, 1187237
1483329600000, 1608742, 1647430
1483333200000, 2124093, 2163399
1483336800000, 2634717, 2680327
1483340400000, 3098483, 3160730
1483344000000, 3513570, 3572254
1483347600000, 3844102, 3897715
1483351200000, 4049904, 4108007
1483354800000, 4127031, 4184946
1483358400000, 4072248, 4130152
1483362000000, 3890273, 3943779
1483365600000, 3579347, 3641240
1483369200000, 3175687, 3240374
1483372800000, 2717480, 2763927
1483376400000, 2212788, 2252941
1483380000000, 1694100, 1734781
1483383600000, 1246521, 1265045
1483387200000, 836730, 865995
1483390800000, 525651, 543160
1483394400000, 322938, 329393
1483398000000, 247265, 253993
1483401600000, 299924, 305724
1483405200000, 479918, 496733
1483408800000, 772424, 801010
1483412400000, 1171130, 1187237
1483416000000, 1608742, 1647430
1483419600000, 2124093, 2163399
1483423200000, 2634717, 2680327
1483426800000, 3098483, 3160730
1483430400000, 3513570, 3572254
1483434000000, 3844102, 3897715
1483437600000, 4049904, 4108007
1483441200000, 4127031, 4184946
1483444800000, 4072248, 4130152
1483448400000, 3890273, 3943779
1483452000000, 3579347, 3641240
1483455600000, 3175687, 3240374
1483459200000, 2717480, 2763927
1483462800000, 2212788, 2252941
1483466400000, 1694100, 1734781
1483470000000, 1246521, 1265045
1483473600000, 836730, 865995
1483477200000, 525651, 543160
1483480800000, 322938, 329393
1483484400000, 247265, 253993
1483488000000, 299924, 305724
1483491600000, 479918, 496733
1483495200000, 772424, 801010
1483498800000, 1171130, 1187237
1483502400000, 1608742, 1647430
1483506000000, 2124093, 2163399
1483509600000, 2634717, 2680327
1483513200000, 3098483, 3160730
1483516800000, 3513570, 3572254
1483520400000, 3845866, 3899269
1483524000000, 4052424, 4110227
1483527600000, 4129551, 4187166
1483531200000, 4074768, 4132372
1483534800000, 3892793, 3945999
1483538400000, 3581867, 3643460
1483542000000, 3178207, 3242594
1483545600000, 2720000, 2766147
1483549200000, 2215308, 2255161
1483552800000, 1696620, 1737001
1483556400000, 1249041, 1267265
1483560000000, 839250, 868215
1483563600000, 528171, 545380
1483567200000, 325458, 331613
1483570800000, 249785, 256213
1483574400000, 302444, 307944
1483578000000, 482438, 498953
1483581600000, 774944, 803230
1483585200000, 1173650, 1189457
1483588800000, 1611262, 1649650
1483592400000, 2126613, 2165619
1483596000000, 2637237, 2682547
1483599600000, 3101003, 3162950
1483603200000, 3516090, 3574474
1483606800000, 3846622, 3899935
1483610400000, 4052424, 4110227
1483614000000, 4129551, 4187166
1483617600000, 4074768, 4132372
1483621200000, 3892793, 3945999
1483624800000, 3581867, 3643460
1483628400000, 3178207, 3242594
1483632000000, 2720000, 2766147
1483635600000, 2215308, 2255161
1483639200000, 1696620, 1737001
1483642800000, 1249041, 1267265
1483646400000, 839250, 868215
1483650000000, 528171, 545380
1483653600000, 325458, 331613
1483657200000, 249785, 256213
1483660800000, 302444, 307944
1483664400000, 482438, 498953
1483668000000, 774944, 803230
1483671600000, 1173650, 1189457
1483675200000, 1611262, 1649650
1483678800000, 2126613, 2165619
1483682400000, 2637237, 2682547
1483686000000, 3101003, 3162950
1483689600000, 3516090, 3574474
1483693200000, 3846622, 3899935
1483696800000, 4052424, 4110227
1483700400000, 4129551, 4187166
1483704000000, 4074768, 4132372
1483707600000, 3892793, 3945999
1483711200000, 3581867, 3643460
1483714800000, 3178207, 3242594
1483718400000, 2720000, 2766147
1483722000000, 2215308, 2255161
1483725600000, 1696620, 1737001
1483729200000, 1249041, 1267265
1483732800000, 839250, 868215
1483736400000, 528171, 545380
1483740000000, 325458, 331613
1483743600000, 249785, 256213
1483747200000, 302444, 307944
1483750800000, 482438, 498953
1483754400000, 774944, 803230
1483758000000, 1173650, 1189457
1483761600000, 1611262, 1649650
1483765200000, 2126613, 2165619
1483768800000, 2637237, 2682547
1483772400000, 3101003, 3162950
1483776000000, 3516090, 3574474
1483779600000, 3846622, 3899935
1483783200000, 4052424, 4110227
1483786800000, 4129551, 4187166
1483790400000, 4074768, 4132372
1483794000000, 3892793, 3945999
1483797600000, 3581867, 3643460
